run_key,label,family,canonical,best_clean_shot,best_clean_accuracy,best_clean_task_cluster_se,best_deranged_shot,best_deranged_accuracy,best_deranged_task_cluster_se,best_accuracy_gap,z_gap_unpaired
qwen3,Qwen3 14B,qwen3,True,64,0.299609375,0.03098557934249201,64,0.16078125,0.025065801778465985,0.13882812500000002,3.483352651921558
evo2,Evo2 40B,evo2,True,64,0.33234375,0.026139829195609355,8,0.1625,0.02341644677320458,0.16984375,4.839618065144839
nextterm,NextTerm 440M,nextterm,True,64,0.48125,0.03734216838183169,64,0.1671875,0.025394418665696732,0.3140625,6.954629989272159
imagegpt,ImageGPT large,imagegpt,True,31,0.435,0.03431915516589103,1,0.19234375,0.021526346456775855,0.24265625,5.989799909242844
timesfm,TimesFM 2.5 200M,timesfm,True,48,0.325703125,0.024450361588296672,4,0.15671875,0.022212244124862755,0.168984375,5.115564689265368
progen2,ProGen2 base,progen2,True,48,0.26421875,0.025125793251272326,48,0.165078125,0.02441073178037692,0.09914062500000001,2.8300614802860435
qwen3_0_6b,Qwen3 0.6B,qwen3,False,64,0.2040625,0.02188296887678575,4,0.1484375,0.02073782558606082,0.05562500000000001,1.8450442192173335
qwen3_1_7b,Qwen3 1.7B,qwen3,False,64,0.247109375,0.029121958894951783,64,0.155,0.023198678014407663,0.092109375,2.473889909586035
qwen3_4b,Qwen3 4B,qwen3,False,64,0.26484375,0.03056128301965494,64,0.16046875,0.024445753106290512,0.104375,2.6670163121471417
qwen3_8b,Qwen3 8B,qwen3,False,64,0.30078125,0.030690320367885694,64,0.161640625,0.02462498252471756,0.139140625,3.536131626548583
evo2_1b_base,Evo2 1B base,evo2,False,64,0.28140625,0.02466357942423976,64,0.173203125,0.024960031329384534,0.10820312500000001,3.083604639502516
evo2_7b,Evo2 7B,evo2,False,64,0.345,0.026486662014644852,8,0.158984375,0.02328188421743089,0.18601562499999996,5.274859792332608
nextterm_47m,NextTerm 47M,nextterm,False,16,0.264453125,0.028909848900656794,32,0.147734375,0.022420896113323912,0.11671875000000001,3.190328050974458
imagegpt_small,ImageGPT small,imagegpt,False,31,0.351875,0.03089482504638058,16,0.187734375,0.025846440335994824,0.16414062499999998,4.0749275344825975
imagegpt_medium,ImageGPT medium,imagegpt,False,31,0.42203125,0.0334186696187588,1,0.1890625,0.02181064668257503,0.23296875000000003,5.837895834789356
progen2_small,ProGen2 small,progen2,False,48,0.208671875,0.023012855284496325,48,0.158046875,0.02274705196473451,0.050625,1.564543245692162
progen2_medium,ProGen2 medium,progen2,False,48,0.22640625,0.023418810940929406,48,0.155859375,0.022671177542718267,0.07054687500000001,2.1643577584586806
progen2_large,ProGen2 large,progen2,False,48,0.20171875,0.022030410471861668,8,0.15203125,0.021720407701434623,0.049687499999999996,1.606072192742549
progen2_xlarge,ProGen2 xlarge,progen2,False,48,0.20234375,0.02309314046297191,48,0.151171875,0.021790674125214245,0.05117187499999998,1.611661346411776
chessgpt,ChessGPT 50M,chessgpt,False,8,0.171796875,0.014977712803359463,8,0.173359375,0.01509220031138965,-0.0015625000000000222,-0.07348516993865337
musicroll,MusicRoll 50M,musicroll,False,4,0.17875,0.02518801616760629,4,0.17765625,0.024417541103188178,0.0010937500000000044,0.031178150696330845
