run_key,label,condition,shot,accuracy_8,accuracy_128,delta_128_minus_8,paired_task_se,normal_ci95_low,normal_ci95_high
qwen3,Qwen3 14B,clean,1,0.11625,0.1284375,0.0121875,0.00913068113069083,-0.005708635016154026,0.030083635016154027
qwen3,Qwen3 14B,clean,2,0.16625,0.155390625,-0.010859375,0.0098376573206508,-0.03014118334847557,0.00842243334847557
qwen3,Qwen3 14B,clean,4,0.17125,0.16859375,-0.00265625,0.011155840611564478,-0.024521697598666375,0.019209197598666378
qwen3,Qwen3 14B,clean,8,0.18875,0.191015625,0.002265625,0.010932592130292896,-0.019162255575374074,0.023693505575374075
qwen3,Qwen3 14B,clean,16,0.22125,0.233671875,0.012421875,0.009958616999216791,-0.007097014318464908,0.03194076431846491
qwen3,Qwen3 14B,clean,32,0.26875,0.268671875,-7.8125e-05,0.013611822477336161,-0.026757297055578874,0.026601047055578877
qwen3,Qwen3 14B,clean,64,0.28875,0.299609375,0.010859375,0.012241293300120065,-0.013133559868235325,0.03485230986823532
qwen3,Qwen3 14B,deranged,1,0.11625,0.1284375,0.0121875,0.00913068113069083,-0.005708635016154026,0.030083635016154027
qwen3,Qwen3 14B,deranged,2,0.16625,0.14796875,-0.01828125,0.01167168579468162,-0.04115775415757597,0.004595254157575977
qwen3,Qwen3 14B,deranged,4,0.13125,0.147265625,0.016015625,0.011554976714841271,-0.006632129361088892,0.03866337936108889
qwen3,Qwen3 14B,deranged,8,0.14625,0.14625,0.0,0.009587629759897843,-0.018791754329399772,0.018791754329399772
qwen3,Qwen3 14B,deranged,16,0.1575,0.15390625,-0.00359375,0.00907725038272782,-0.02138516075014653,0.014197660750146529
qwen3,Qwen3 14B,deranged,32,0.15375,0.158203125,0.004453125,0.009381741447155829,-0.013935088236425426,0.022841338236425424
qwen3,Qwen3 14B,deranged,64,0.15625,0.16078125,0.00453125,0.009094051550069874,-0.013293091038136952,0.022355591038136953
evo2,Evo2 40B,clean,1,0.13,0.128203125,-0.001796875,0.009872664639424567,-0.02114729769327215,0.01755354769327215
evo2,Evo2 40B,clean,2,0.1525,0.155546875,0.003046875,0.01153496189590011,-0.019561650315964213,0.025655400315964215
evo2,Evo2 40B,clean,4,0.17875,0.179921875,0.001171875,0.013081004436342216,-0.024466893695230744,0.026810643695230743
evo2,Evo2 40B,clean,8,0.22625,0.215234375,-0.011015625,0.01231620670422844,-0.03515539014028774,0.013124140140287741
evo2,Evo2 40B,clean,16,0.2425,0.238203125,-0.004296875,0.013124293041776883,-0.030020489361882688,0.02142673936188269
evo2,Evo2 40B,clean,32,0.28,0.275546875,-0.004453125,0.013918956908009993,-0.03173428053969959,0.022828030539699586
evo2,Evo2 40B,clean,64,0.3225,0.33234375,0.00984375,0.014506451496561656,-0.018588894933260845,0.03827639493326085
evo2,Evo2 40B,deranged,1,0.13,0.128203125,-0.001796875,0.009872664639424567,-0.02114729769327215,0.01755354769327215
evo2,Evo2 40B,deranged,2,0.1375,0.145859375,0.008359375,0.010877731152136014,-0.012960978058186587,0.02967972805818659
evo2,Evo2 40B,deranged,4,0.175,0.1553125,-0.0196875,0.01123198877367088,-0.04170219799639492,0.002327197996394921
evo2,Evo2 40B,deranged,8,0.16,0.1625,0.0025,0.010177704127184335,-0.017448300089281298,0.022448300089281295
evo2,Evo2 40B,deranged,16,0.175,0.155703125,-0.019296875,0.01047536433121472,-0.039828589089180855,0.0012348390891808482
evo2,Evo2 40B,deranged,32,0.15625,0.14828125,-0.00796875,0.010859990967015655,-0.029254332295350682,0.013316832295350682
evo2,Evo2 40B,deranged,64,0.1425,0.152265625,0.009765625,0.01139811515902975,-0.01257468071169831,0.03210593071169831
nextterm,NextTerm 440M,clean,1,0.09625,0.091796875,-0.004453125,0.007824529091533968,-0.019789202019406576,0.010882952019406578
nextterm,NextTerm 440M,clean,2,0.17125,0.14921875,-0.02203125,0.011759650846042722,-0.04508016565824373,0.0010176656582437348
nextterm,NextTerm 440M,clean,4,0.1925,0.198671875,0.006171875,0.009874188224809084,-0.013181533920625804,0.025525283920625804
nextterm,NextTerm 440M,clean,8,0.23125,0.257734375,0.026484375,0.010902436921162072,0.00511559863452234,0.04785315136547766
nextterm,NextTerm 440M,clean,16,0.32,0.338671875,0.018671875,0.01165248256319547,-0.004166990823863119,0.04151074082386312
nextterm,NextTerm 440M,clean,32,0.39875,0.41234375,0.01359375,0.01118365899937349,-0.008326221638772039,0.03551372163877204
nextterm,NextTerm 440M,clean,64,0.46625,0.48125,0.015,0.012152728174501944,-0.00881934722202381,0.038819347222023806
nextterm,NextTerm 440M,deranged,1,0.09625,0.091796875,-0.004453125,0.007824529091533968,-0.019789202019406576,0.010882952019406578
nextterm,NextTerm 440M,deranged,2,0.1125,0.122734375,0.010234375,0.008474693992670939,-0.006376025225635039,0.02684477522563504
nextterm,NextTerm 440M,deranged,4,0.1225,0.1396875,0.0171875,0.012147308924607478,-0.006621225492230657,0.040996225492230656
nextterm,NextTerm 440M,deranged,8,0.14625,0.15203125,0.00578125,0.009763885577412977,-0.013355965731729433,0.024918465731729435
nextterm,NextTerm 440M,deranged,16,0.15125,0.161875,0.010625,0.010485990910074338,-0.009927542183745702,0.031177542183745702
nextterm,NextTerm 440M,deranged,32,0.1575,0.16484375,0.00734375,0.00981816359667045,-0.011899850649474082,0.02658735064947408
nextterm,NextTerm 440M,deranged,64,0.17125,0.1671875,-0.0040625,0.010825590910458701,-0.025280658184499052,0.017155658184499052
imagegpt,ImageGPT large,clean,1,0.19125,0.19234375,0.00109375,0.009638947960604802,-0.01779858800278541,0.019986088002785413
imagegpt,ImageGPT large,clean,2,0.25,0.271171875,0.021171875,0.014054297113032105,-0.006374547341542924,0.04871829734154293
imagegpt,ImageGPT large,clean,4,0.3325,0.348828125,0.016328125,0.013842491502724454,-0.01080315834533993,0.04345940834533993
imagegpt,ImageGPT large,clean,8,0.38,0.38890625,0.00890625,0.01284493884124122,-0.01626983012883279,0.034082330128832786
imagegpt,ImageGPT large,clean,16,0.4225,0.41453125,-0.00796875,0.013790232190459772,-0.03499760509330115,0.019060105093301152
imagegpt,ImageGPT large,clean,31,0.45125,0.435,-0.01625,0.01386811498801142,-0.04343150537650238,0.010931505376502382
imagegpt,ImageGPT large,deranged,1,0.19125,0.19234375,0.00109375,0.009638947960604802,-0.01779858800278541,0.019986088002785413
imagegpt,ImageGPT large,deranged,2,0.16625,0.1784375,0.0121875,0.009961851160068268,-0.007337728273733805,0.03171272827373381
imagegpt,ImageGPT large,deranged,4,0.18125,0.18203125,0.00078125,0.010886368125737145,-0.020556031526444803,0.022118531526444805
imagegpt,ImageGPT large,deranged,8,0.1975,0.183203125,-0.014296875,0.011404431046158531,-0.03664955985047072,0.008055809850470722
imagegpt,ImageGPT large,deranged,16,0.17875,0.1884375,0.0096875,0.01128108430094601,-0.012423425229854177,0.031798425229854176
imagegpt,ImageGPT large,deranged,31,0.19375,0.182578125,-0.011171875,0.00951744620038596,-0.029826069552756483,0.007482319552756482
timesfm,TimesFM 2.5 200M,clean,1,0.12375,0.108671875,-0.015078125,0.010647452301399359,-0.03594713151074274,0.005790881510742743
timesfm,TimesFM 2.5 200M,clean,2,0.18375,0.170546875,-0.013203125,0.012016521447624978,-0.03675550703734495,0.010349257037344958
timesfm,TimesFM 2.5 200M,clean,4,0.20875,0.209375,0.000625,0.011999057103370642,-0.022893151922606457,0.024143151922606458
timesfm,TimesFM 2.5 200M,clean,8,0.2325,0.245625,0.013125,0.014017218060173874,-0.014348747397940795,0.040598747397940796
timesfm,TimesFM 2.5 200M,clean,16,0.27625,0.28421875,0.00796875,0.014587974437356776,-0.02062367989721928,0.036561179897219284
timesfm,TimesFM 2.5 200M,clean,24,0.285,0.300625,0.015625,0.01353028003206926,-0.010894348862855747,0.04214434886285574
timesfm,TimesFM 2.5 200M,clean,32,0.29875,0.307109375,0.008359375,0.012497659483372963,-0.016136037587411008,0.032854787587411005
timesfm,TimesFM 2.5 200M,clean,48,0.32,0.325703125,0.005703125,0.014751405256821417,-0.023209629303369977,0.03461587930336998
timesfm,TimesFM 2.5 200M,deranged,1,0.12375,0.1084375,-0.0153125,0.010696939684963049,-0.036278501782527575,0.005653501782527576
timesfm,TimesFM 2.5 200M,deranged,2,0.135,0.14328125,0.00828125,0.009841369761930265,-0.011007834733383317,0.027570334733383318
timesfm,TimesFM 2.5 200M,deranged,4,0.15125,0.15671875,0.00546875,0.010713974515607448,-0.015530640050590598,0.026468140050590595
timesfm,TimesFM 2.5 200M,deranged,8,0.13125,0.150546875,0.019296875,0.007994606589013605,0.003627446085533337,0.034966303914466666
timesfm,TimesFM 2.5 200M,deranged,16,0.14125,0.1425,0.00125,0.008822581810933015,-0.016042260349428707,0.01854226034942871
