run_key,label,condition,shot_cells,pearson_across_shots,rmse_accuracy,max_abs_accuracy_delta
qwen3,Qwen3 14B,clean,7,0.9903542108236199,0.008871181349625678,0.012421874999999999
qwen3,Qwen3 14B,deranged,7,0.7789007626267808,0.010640334915806725,0.01828125
evo2,Evo2 40B,clean,7,0.9957784385668482,0.006215445775086104,0.011015625000000001
evo2,Evo2 40B,deranged,7,0.7426232430690657,0.011941484469666476,0.019687499999999997
nextterm,NextTerm 440M,clean,7,0.99542332703825,0.01691638856283837,0.026484375000000004
nextterm,NextTerm 440M,deranged,7,0.957864618450309,0.009537377275235506,0.017187499999999994
imagegpt,ImageGPT large,clean,6,0.9921828378936758,0.013680503229771608,0.021171875000000007
imagegpt,ImageGPT large,deranged,6,0.3927987666710198,0.009775828003347939,0.014296875000000014
timesfm,TimesFM 2.5 200M,clean,8,0.9960145092211194,0.011092649593311781,0.015625
timesfm,TimesFM 2.5 200M,deranged,8,0.5958331525907773,0.010915854698055593,0.01929687499999999
progen2,ProGen2 base,clean,7,0.9960026536724744,0.011891435994025276,0.023281249999999976
progen2,ProGen2 base,deranged,7,0.535737012670907,0.01383096217867529,0.025546874999999997
