left,right,metric,observed_spearman,posterior_mean,posterior_median,ci95_low,ci95_high,task_bootstrap_mean,task_bootstrap_median,task_bootstrap_ci95_low,task_bootstrap_ci95_high,reference_spearman
Language,Genome,clean,0.8923316838425692,0.8687711347134714,0.8690909090909091,0.8422184218421842,0.8935016501650165,0.8875933739331494,0.89039233187135,0.8271865018452665,0.9321894172524388,0.6891006359832321
Language,Genome,deranged,0.8857733692392858,0.8326166696669667,0.8332013201320132,0.7882865286528653,0.873988898889889,0.882067758354003,0.8855146722988337,0.8134454103320904,0.930094611524315,0.7942773379239687
Language,Genome,gap,0.6720732614676685,0.6250504050405039,0.6253165316531653,0.5516585658565857,0.6958193819381937,0.6674848174468233,0.6709002881453949,0.5241205161457023,0.7867064588694047,0.4363992862495205
Language,Genome,residual,0.6746894317235674,0.6291970849084908,0.6297209720972097,0.55895199519952,0.6978343834383438,0.6674849618881245,0.6713647682869415,0.5232827568585046,0.7838179545762389,0.4568797489930212
Language,Integer,clean,0.6936649576967477,0.6838318295829582,0.684044404440444,0.6522649264926493,0.7143120312031204,0.6873249864761677,0.6912247532638747,0.5739880232149479,0.7793317026409363,0.5962561896639006
Language,Integer,deranged,0.8876584686361305,0.8352372229222921,0.835907590759076,0.7928226822682268,0.8743360336033603,0.8844205670545422,0.8879322749090409,0.8184230220006782,0.9302896124943832,0.8575519315179848
Language,Integer,gap,0.4305563237575424,0.42013655205520556,0.4204800480048005,0.35194539453945395,0.48639933993399337,0.42560664499906314,0.4283815688384952,0.2550565315646384,0.5793513550491947,0.34036059854855666
Language,Integer,residual,0.3910231981890361,0.3915092541254125,0.3916231623162316,0.3324206420642064,0.449949594959496,0.3950610412194809,0.39752505187155285,0.2161689323422751,0.5564558153122299,0.3524350265396991
Language,Image,clean,0.6819335441833111,0.6650948586858686,0.6654005400540055,0.6299549954995499,0.6999354935493549,0.6761966756908292,0.680945373668242,0.5420236970712873,0.788991603451013,0.5047278592413554
Language,Image,deranged,0.8724276612869346,0.8297499357935795,0.8302190219021902,0.788020102010201,0.8687557755775577,0.8686175282566683,0.8724083292215612,0.7972528606424379,0.9175523060586905,0.855094643623143
Language,Image,gap,0.44063790261945235,0.41064223582358234,0.4107290729072907,0.32714011401140114,0.49321602160216016,0.43614638201052647,0.4396648903511959,0.27991513787829037,0.5748614549255949,0.11811701697942625
Language,Image,residual,0.4626987085084518,0.4329617881788179,0.43338733873387336,0.3737878787878788,0.48986528652865285,0.45748705738585194,0.4601207511940314,0.3205652700913429,0.5801446441117138,0.1796212953425467
Language,Time,clean,0.664448635605246,0.6445331185118511,0.6448244824482449,0.6036720672067207,0.684080708070807,0.6598135386791,0.6648722349089746,0.5188248183544655,0.7757701111102288,0.42065017501832624
Language,Time,deranged,0.8726053487618011,0.8234017209720973,0.8238523852385238,0.7796453645364536,0.8654311431143115,0.8687970251884155,0.8722779729746523,0.7984342002846279,0.9176988316736806,0.8697880418372005
Language,Time,gap,0.3537017137385067,0.32241542994299427,0.32236423642364237,0.23641104110411043,0.40754905490549054,0.35196932337272396,0.35421286367757715,0.16098901041440142,0.5335443401533552,0.054195234304058926
Language,Time,residual,0.3487397227641229,0.32506470327032705,0.3252805280528053,0.24938463846384637,0.40092439243924394,0.3577836672282319,0.3603853793196762,0.1694415282037855,0.5305377088882202,0.09191188391390723
Language,Protein,clean,0.886178980155596,0.8638326624662466,0.8642304230423042,0.8362670267026703,0.8894455445544555,0.8812948931483016,0.8845378481111801,0.8171654274037364,0.9272014998998422,0.6979316748853025
Language,Protein,deranged,0.8796422628379109,0.8271126228622863,0.8276327632763276,0.7816243624362436,0.8691992199219921,0.8760724182435501,0.8796043503229015,0.8035872881352957,0.9271928095387584,0.8546570020582713
Language,Protein,gap,0.5681819584929743,0.4867089480948095,0.48763876387638766,0.38182898289828987,0.5853027302730271,0.5638520967313506,0.5680860798316507,0.40618573743527175,0.7034562742158537,0.26518788463102766
Language,Protein,residual,0.5624718683147858,0.4933513795379538,0.4938793879387939,0.39105700570057006,0.590999699969997,0.5629705937879654,0.5677892225165152,0.40524370345387534,0.7002026007697437,0.30210167682301575
Genome,Integer,clean,0.7667227037871095,0.7576625538553855,0.7577977797779778,0.7337773777377737,0.7807623762376237,0.760559271704897,0.7641888033336621,0.6551753860537369,0.8457487359627723,0.6467552315129224
Genome,Integer,deranged,0.8520779048626943,0.8128383138313832,0.8131833183318331,0.7696588658865886,0.8545469546954695,0.8481946736046868,0.8528135514609678,0.7596554682268679,0.9105551216130122,0.7966775153253604
Genome,Integer,gap,0.679189260004785,0.6387834587458747,0.6393999399939994,0.5867134713471347,0.6867590759075907,0.6727672956527434,0.6758052014569818,0.5461202686809883,0.7784716921541391,0.4587078299152464
Genome,Integer,residual,0.6340727893614093,0.6146975181518152,0.6153255325532553,0.567896489648965,0.6583384338433843,0.6358219920593234,0.6387328225184608,0.49837487002559694,0.7532409352613897,0.49582988860912575
