left,right,observed_spearman,permutation_exceedances,permutations,one_sided_permutation_p,permutation_monte_carlo_se,holm_p_15_tests,bh_fdr_p_15_tests,one_sided_asymptotic_p
Language,Genome,0.6720732614676683,0,1000000,9.99999000001e-07,9.999985000018751e-07,1.4999985000015e-05,1.874998125001875e-06,9.643236869158647e-15
Language,Integer,0.43055632375754227,2,1000000,2.999997000003e-06,1.7320464774468379e-06,1.7999982000018e-05,4.4999955000045e-06,3.887055006568455e-06
Language,Image,0.4406379026194523,1,1000000,1.999998000002e-06,1.414210733949506e-06,1.4999985000015e-05,3.3333300000033334e-06,2.237542161489221e-06
Language,Time,0.35370171373850656,162,1000000,0.000162999837000163,1.2766092005002776e-05,0.000814999185000815,0.00022227250500022228,0.00015311354482686117
Language,Protein,0.5681819584929739,0,1000000,9.99999000001e-07,9.999985000018751e-07,1.4999985000015e-05,1.874998125001875e-06,3.5089918003745563e-10
Genome,Integer,0.6791892600047851,0,1000000,9.99999000001e-07,9.999985000018751e-07,1.4999985000015e-05,1.874998125001875e-06,4.011831140736798e-15
Genome,Image,0.14949268521005954,68607,1000000,0.06860793139206861,0.0002527861136244445,0.27443172556827444,0.08575991424008576,0.06883983210408695
Genome,Time,0.6643236987468956,0,1000000,9.99999000001e-07,9.999985000018751e-07,1.4999985000015e-05,1.874998125001875e-06,2.4391451096647425e-14
Genome,Protein,0.8863600242580174,0,1000000,9.99999000001e-07,9.999985000018751e-07,1.4999985000015e-05,1.874998125001875e-06,7.621349827247061e-35
Integer,Image,0.055221372675936395,291545,1000000,0.29154570845429156,0.0004544739836223576,0.40451359548640453,0.29154570845429156,0.29264032041756766
Integer,Time,0.5489705601455971,0,1000000,9.99999000001e-07,9.999985000018751e-07,1.4999985000015e-05,1.874998125001875e-06,1.672023847691703e-09
Integer,Protein,0.6297846882087527,0,1000000,9.99999000001e-07,9.999985000018751e-07,1.4999985000015e-05,1.874998125001875e-06,1.114976126453467e-12
Image,Time,0.11319489725297631,131226,1000000,0.13122686877313122,0.00033764813590314244,0.39368060631939367,0.1514156178151514,0.1310745804836524
Image,Protein,0.08408679284259041,202256,1000000,0.20225679774320227,0.00040168249172828466,0.40451359548640453,0.2167037118677167,0.20276922363286137
Time,Protein,0.6887498392294952,0,1000000,9.99999000001e-07,9.999985000018751e-07,1.4999985000015e-05,1.874998125001875e-06,1.1871611898359553e-15
