run_key,label,family,canonical,shot,clean_accuracy,deranged_accuracy,clean_minus_deranged,paired_task_se,task_bootstrap_ci95_low,task_bootstrap_ci95_high
qwen3,Qwen3 14B,qwen3,True,1,0.1284375,0.1284375,0.0,0.0,0.0,0.0
qwen3,Qwen3 14B,qwen3,True,2,0.155390625,0.14796875,0.007421875,0.003661652302073691,0.0003125,0.014375
qwen3,Qwen3 14B,qwen3,True,4,0.16859375,0.147265625,0.021328125,0.004424791909216457,0.013125,0.03015625
qwen3,Qwen3 14B,qwen3,True,8,0.191015625,0.14625,0.044765625,0.007123028777413251,0.031404296875,0.059296875
qwen3,Qwen3 14B,qwen3,True,16,0.233671875,0.15390625,0.079765625,0.010984350753238465,0.059296875,0.10203125
qwen3,Qwen3 14B,qwen3,True,32,0.268671875,0.158203125,0.11046875,0.014259726309738966,0.08366992187500001,0.13921875
qwen3,Qwen3 14B,qwen3,True,64,0.299609375,0.16078125,0.138828125,0.016169434958408745,0.108359375,0.171171875
evo2,Evo2 40B,evo2,True,1,0.128203125,0.128203125,0.0,0.0,0.0,0.0
evo2,Evo2 40B,evo2,True,2,0.155546875,0.145859375,0.0096875,0.0036997501323287585,0.00234375,0.016796875
evo2,Evo2 40B,evo2,True,4,0.179921875,0.1553125,0.024609375,0.004711605474591518,0.015625,0.033984375
evo2,Evo2 40B,evo2,True,8,0.215234375,0.1625,0.052734375,0.005961597787592605,0.04140625,0.064609375
evo2,Evo2 40B,evo2,True,16,0.238203125,0.155703125,0.0825,0.00785367935149256,0.06765625,0.098125
evo2,Evo2 40B,evo2,True,32,0.275546875,0.14828125,0.127265625,0.010970310073342114,0.106171875,0.149375
evo2,Evo2 40B,evo2,True,64,0.33234375,0.152265625,0.180078125,0.015169893158485576,0.15046875,0.210234375
nextterm,NextTerm 440M,nextterm,True,1,0.091796875,0.091796875,0.0,0.0,0.0,0.0
nextterm,NextTerm 440M,nextterm,True,2,0.14921875,0.122734375,0.026484375,0.008083902440866866,0.0125,0.043828125
nextterm,NextTerm 440M,nextterm,True,4,0.198671875,0.1396875,0.058984375,0.013055529058426666,0.03625,0.086015625
