family,run_key,model_size,shot,clean_accuracy,deranged_accuracy,clean_minus_deranged,paired_task_se,task_bootstrap_ci95_low,task_bootstrap_ci95_high,tasks,trials_per_task
ImageGPT,imagegpt_small,small,31,0.351875,0.182578125,0.169296875,0.02259127170899785,0.1275,0.2159375,100,128
ImageGPT,imagegpt_medium,medium,31,0.42203125,0.18484375,0.2371875,0.028981232089871013,0.181794921875,0.294609375,100,128
ImageGPT,imagegpt,large,31,0.435,0.182578125,0.252421875,0.03010134344231232,0.194607421875,0.313205078125,100,128
NextTerm,nextterm_47m,47M,16,0.264453125,0.144765625,0.1196875,0.019840785838027043,0.083203125,0.16046875,100,128
NextTerm,nextterm,440M,64,0.48125,0.1671875,0.3140625,0.03119293242549933,0.255625,0.3759375,100,128
Qwen3,qwen3_0_6b,0.6B,64,0.2040625,0.12609375,0.07796875,0.009897066809091021,0.059140625,0.097109375,100,128
Qwen3,qwen3_1_7b,1.7B,64,0.247109375,0.155,0.092109375,0.013748284855580004,0.066951171875,0.121015625,100,128
Qwen3,qwen3_4b,4B,64,0.26484375,0.16046875,0.104375,0.015125181305783683,0.076640625,0.13468945312499997,100,128
Qwen3,qwen3_8b,8B,64,0.30078125,0.161640625,0.139140625,0.01640030969598473,0.10921875,0.173361328125,100,128
Qwen3,qwen3,14B,64,0.299609375,0.16078125,0.138828125,0.016169434958408745,0.108359375,0.171171875,100,128
Evo2,evo2_1b_base,1B,64,0.28140625,0.173203125,0.108203125,0.009368010204676227,0.0903125,0.126640625,100,128
Evo2,evo2_7b,7B,64,0.345,0.152578125,0.192421875,0.016706810895060188,0.159451171875,0.225390625,100,128
Evo2,evo2,40B,64,0.33234375,0.152265625,0.180078125,0.015169893158485576,0.15046875,0.210234375,100,128
ProGen2,progen2_small,small,48,0.208671875,0.158046875,0.050625,0.005189929606283868,0.040546875,0.06078125,100,128
ProGen2,progen2_medium,medium,48,0.22640625,0.155859375,0.070546875,0.007136518211533849,0.056875,0.084609375,100,128
ProGen2,progen2,base,48,0.26421875,0.165078125,0.099140625,0.008897021262985094,0.082265625,0.116953125,100,128
ProGen2,progen2_large,large,48,0.20171875,0.15109375,0.050625,0.005953427600079969,0.03890625,0.06234375,100,128
ProGen2,progen2_xlarge,xlarge,48,0.20234375,0.151171875,0.051171875,0.004978814759895398,0.04171875,0.061015625,100,128
