model,category,mean_clean_accuracy,mean_deranged_accuracy,clean_minus_deranged,task_count,in_context_examples,trials_per_task_per_condition
ImageGPT-large,Global Broadcast,0.6705729166666666,0.51171875,0.15885416666666666,30,31,128
ImageGPT-large,Half Segments,0.3076923076923077,0.056490384615384616,0.2512019230769231,13,31,128
ImageGPT-large,Parity Masking,0.17693014705882354,0.10799632352941177,0.06893382352941177,17,31,128
ImageGPT-large,Half Swaps,0.3237847222222222,0.005208333333333333,0.3185763888888889,9,31,128
ImageGPT-large,Bit Inversion,0.00390625,0.00078125,0.003125,10,31,128
ImageGPT-large,Bit Reversal,0.6752232142857143,0.011160714285714286,0.6640625,7,31,128
ImageGPT-large,Local Shifts,0.62109375,0.014508928571428572,0.6065848214285714,14,31,128
NextTerm-440M,Global Broadcast,0.8231770833333333,0.48463541666666665,0.3385416666666667,30,64,128
NextTerm-440M,Half Segments,0.5264423076923077,0.038461538461538464,0.4879807692307692,13,64,128
NextTerm-440M,Parity Masking,0.5041360294117647,0.08455882352941177,0.4195772058823529,17,64,128
NextTerm-440M,Half Swaps,0.015625,0.006944444444444444,0.008680555555555556,9,64,128
NextTerm-440M,Bit Inversion,0.2078125,0.00234375,0.20546875,10,64,128
NextTerm-440M,Bit Reversal,0.046875,0.0078125,0.0390625,7,64,128
NextTerm-440M,Local Shifts,0.390625,0.007254464285714286,0.3833705357142857,14,64,128
Evo2-40B,Global Broadcast,0.6338541666666667,0.44166666666666665,0.1921875,30,64,128
Evo2-40B,Half Segments,0.2764423076923077,0.028245192307692308,0.2481971153846154,13,64,128
Evo2-40B,Parity Masking,0.3244485294117647,0.07904411764705882,0.24540441176470587,17,64,128
Evo2-40B,Half Swaps,0.06944444444444445,0.0026041666666666665,0.06684027777777778,9,64,128
Evo2-40B,Bit Inversion,0.14921875,0.01015625,0.1390625,10,64,128
Evo2-40B,Bit Reversal,0.04352678571428571,0.008928571428571428,0.03459821428571429,7,64,128
Evo2-40B,Local Shifts,0.19196428571428573,0.005580357142857143,0.18638392857142858,14,64,128
Qwen3-14B,Global Broadcast,0.7127604166666667,0.4700520833333333,0.24270833333333333,30,64,128
Qwen3-14B,Half Segments,0.18329326923076922,0.034254807692307696,0.14903846153846154,13,64,128
Qwen3-14B,Parity Masking,0.15625,0.07950367647058823,0.07674632352941177,17,64,128
Qwen3-14B,Half Swaps,0.057291666666666664,0.001736111111111111,0.05555555555555555,9,64,128
Qwen3-14B,Bit Inversion,0.04765625,0.00703125,0.040625,10,64,128
Qwen3-14B,Bit Reversal,0.05915178571428571,0.0033482142857142855,0.05580357142857143,7,64,128
Qwen3-14B,Local Shifts,0.15234375,0.005022321428571429,0.14732142857142858,14,64,128
TimesFM-2.5,Global Broadcast,0.5020833333333333,0.39114583333333336,0.1109375,30,48,128
TimesFM-2.5,Half Segments,0.24879807692307693,0.030048076923076924,0.21875,13,48,128
TimesFM-2.5,Parity Masking,0.34375,0.09650735294117647,0.24724264705882354,17,48,128
TimesFM-2.5,Half Swaps,0.0842013888888889,0.001736111111111111,0.08246527777777778,9,48,128
TimesFM-2.5,Bit Inversion,0.29296875,0.00546875,0.2875,10,48,128
TimesFM-2.5,Bit Reversal,0.03794642857142857,0.012276785714285714,0.025669642857142856,7,48,128
TimesFM-2.5,Local Shifts,0.3197544642857143,0.007254464285714286,0.3125,14,48,128
ProGen2-base,Global Broadcast,0.571875,0.4765625,0.0953125,30,48,128
ProGen2-base,Half Segments,0.1814903846153846,0.03365384615384615,0.14783653846153846,13,48,128
ProGen2-base,Parity Masking,0.23575367647058823,0.08823529411764706,0.14751838235294118,17,48,128
ProGen2-base,Half Swaps,0.042534722222222224,0.005208333333333333,0.03732638888888889,9,48,128
ProGen2-base,Bit Inversion,0.08671875,0.00390625,0.0828125,10,48,128
ProGen2-base,Bit Reversal,0.022321428571428572,0.015625,0.006696428571428571,7,48,128
ProGen2-base,Local Shifts,0.10658482142857142,0.005580357142857143,0.10100446428571429,14,48,128
