run_key,model,shot,tasks,trials_per_task,clean_accuracy,clean_task_se,deranged_accuracy,deranged_task_se,clean_minus_deranged,paired_task_se,one_sided_exact_task_swap_p,two_sided_exact_task_swap_p,exact_task_swap_nonzero_tasks,test_performed,deranged_source,clean_path,deranged_path,holm_one_sided_p_within_model_shots
chessgpt,ChessGPT-50M,1,100,128,0.09234375,0.009229444019876567,0.09234375,0.009229444019876567,0.0,0.0,1.0,1.0,0,True,evaluated deranged cell,chessgpt/clean/Chess-50M-bf16_signal2-wipe_bit4_ic1.json,chessgpt/deranged/Chess-50M-bf16_signal2-wipe_bit4_deranged_ic1.json,1.0
chessgpt,ChessGPT-50M,2,100,128,0.097578125,0.009174582686293977,0.093046875,0.00894429327786005,0.00453125,0.003937188088896502,0.13138314868615103,0.26276629737230206,79,True,evaluated deranged cell,chessgpt/clean/Chess-50M-bf16_signal2-wipe_bit4_ic2.json,chessgpt/deranged/Chess-50M-bf16_signal2-wipe_bit4_deranged_ic2.json,0.5255325947446041
chessgpt,ChessGPT-50M,4,100,128,0.1159375,0.01004284245128154,0.1146875,0.009819457057304774,0.00125,0.0035563282753097577,0.37183662471014045,0.7436732494202809,76,True,evaluated deranged cell,chessgpt/clean/Chess-50M-bf16_signal2-wipe_bit4_ic4.json,chessgpt/deranged/Chess-50M-bf16_signal2-wipe_bit4_deranged_ic4.json,1.0
chessgpt,ChessGPT-50M,8,100,128,0.171796875,0.014977712803359463,0.173359375,0.01509220031138965,-0.0015625,0.004575686630871852,0.6396852582786422,0.7462860807202052,83,True,evaluated deranged cell,chessgpt/clean/Chess-50M-bf16_signal2-wipe_bit4_ic8.json,chessgpt/deranged/Chess-50M-bf16_signal2-wipe_bit4_deranged_ic8.json,1.0
musicroll,Musicroll-50M,1,100,128,0.168359375,0.022983656982755778,0.168359375,0.022983656982755778,0.0,0.0,1.0,1.0,0,False,clean identity at one shot,musicroll/clean/musicroll-50m_music_slice-pitch_constrained_clean_ic1.json,musicroll/clean/musicroll-50m_music_slice-pitch_constrained_clean_ic1.json,1.0
musicroll,Musicroll-50M,2,100,128,0.17,0.023616248095000097,0.170546875,0.023638932118915518,-0.000546875,0.0034302016616909606,0.5718446861791393,0.8919818400252424,86,True,evaluated deranged cell,musicroll/clean/musicroll-50m_music_slice-pitch_constrained_clean_ic2.json,musicroll/deranged/musicroll-50m_music_slice-pitch_constrained_deranged_ic2.json,0.7878465335717364
musicroll,Musicroll-50M,4,100,128,0.17875,0.02518801616760629,0.17765625,0.024417541103188178,0.00109375,0.0037261512800398243,0.3939232667858682,0.7878465335717364,87,True,evaluated deranged cell,musicroll/clean/musicroll-50m_music_slice-pitch_constrained_clean_ic4.json,musicroll/deranged/musicroll-50m_music_slice-pitch_constrained_deranged_ic4.json,0.7878465335717364
musicroll,Musicroll-50M,8,100,128,0.178359375,0.02476960772790236,0.17296875,0.024430263248469513,0.005390625,0.00407040648399124,0.09810211301991183,0.19620422603982365,90,True,evaluated deranged cell,musicroll/clean/musicroll-50m_music_slice-pitch_constrained_clean_ic8.json,musicroll/deranged/musicroll-50m_music_slice-pitch_constrained_deranged_ic8.json,0.3924084520796473
musicroll,Musicroll-50M,16,100,128,0.169453125,0.024396341737951573,0.1665625,0.024046917097760488,0.002890625,0.003653696539395225,0.222961051869226,0.445922103738452,72,True,evaluated deranged cell,musicroll/clean/musicroll-50m_music_slice-pitch_constrained_clean_ic16.json,musicroll/deranged/musicroll-50m_music_slice-pitch_constrained_deranged_ic16.json,0.668883155607678
musicroll,Musicroll-50M,32,100,128,0.173203125,0.024759649706938953,0.1625,0.02421353092184787,0.010703125,0.0038732109725455473,0.0034876838643647995,0.006975367728729599,81,True,evaluated deranged cell,musicroll/clean/musicroll-50m_music_slice-pitch_constrained_clean_ic32.json,musicroll/deranged/musicroll-50m_music_slice-pitch_constrained_deranged_ic32.json,0.017438419321823998
