calibration,true_latent_correlation,trials_per_task,tasks,metric,theoretical_population_pearson,mean,median,ci95_low,ci95_high
Language,0,8,100,pearson,0.0,-5.2174921736624966e-05,-0.0014154978409348918,-0.19353145577062628,0.2000682934304616
Language,0,8,100,spearman,0.0,-8.514642859923298e-05,-0.0004839587836152731,-0.1963406692160369,0.19848624362011855
Language,0,128,100,pearson,0.0,0.001419530508847586,0.0006129611123018264,-0.19183781028147345,0.19739041166458524
Language,0,128,100,spearman,0.0,0.0014079605800418039,0.002255686129661318,-0.19851808002195354,0.19598358561998924
Language,1,8,100,pearson,0.868960615705414,0.8681562556339478,0.8704940645532435,0.8037680215892216,0.9182807473629594
Language,1,8,100,spearman,0.868960615705414,0.8406477591571941,0.8436554940745002,0.7626004491002916,0.9003038389396251
Language,1,128,100,pearson,0.9906629924997226,0.9905606174953023,0.9907918680046598,0.9854192939753232,0.9943428468427781
Language,1,128,100,spearman,0.9906629924997226,0.9818105296860536,0.9825511840441464,0.9698917549149322,0.9893648657486861
Genome,0,8,100,pearson,0.0,0.0005075690356154927,0.0002226219092050241,-0.19413545594781126,0.19652154021708224
Genome,0,8,100,spearman,0.0,0.0005686238743277689,0.0011674662459987615,-0.19526098298952263,0.19811892767396497
Genome,0,128,100,pearson,0.0,-0.00030565856961624853,-0.0006542353183720824,-0.19655565918509632,0.19939064300633108
Genome,0,128,100,spearman,0.0,-0.0007919803544503928,-0.000723509856647083,-0.1952489933005065,0.1952873961986084
Genome,1,8,100,pearson,0.7762348047529036,0.7754166874189705,0.778923787023359,0.6810416070793395,0.8509019400362121
Genome,1,8,100,spearman,0.7762348047529036,0.7608073881107044,0.7648274273866873,0.6602622765919123,0.8396678800752053
Genome,1,128,100,pearson,0.9823019887982682,0.9821793309584184,0.9825464886272255,0.973653470937335,0.9886314665396135
Genome,1,128,100,spearman,0.9823019887982682,0.9779175737042775,0.9784617648673868,0.9664952406287305,0.9859051312486036
Integer,0,8,100,pearson,0.0,0.000345643655726917,0.001350461802016552,-0.19787764114560685,0.19712434747763896
Integer,0,8,100,spearman,0.0,0.0004998296893810587,0.0010744602919644656,-0.19888447589947117,0.19712817915925304
Integer,0,128,100,pearson,0.0,-0.0012058262749087055,-0.001814802308841856,-0.19838843120838087,0.19458999319923367
Integer,0,128,100,spearman,0.0,-0.0011507436985315229,-0.0008052165571531581,-0.19716523197960792,0.19525626326825013
Integer,1,8,100,pearson,0.9089184236675674,0.9084623889805065,0.9101822106484295,0.8626692559869514,0.9436882066940547
Integer,1,8,100,spearman,0.9089184236675674,0.8982264403586608,0.8996808885785954,0.8557737641262446,0.9321742826170775
Integer,1,128,100,pearson,0.9937759349246015,0.993737615652279,0.993871462892446,0.9904651692706691,0.9962096410597333
Integer,1,128,100,spearman,0.9937759349246015,0.989484699220848,0.9897422310941257,0.9844743972792124,0.993141022998651
Image,0,8,100,pearson,0.0,-0.0002560251273222313,0.00026481213315724306,-0.19585325406719065,0.19899414002602472
Image,0,8,100,spearman,0.0,-0.0002848275634361418,-0.00019662816398579984,-0.1981341675694179,0.19739302297230082
Image,0,128,100,pearson,0.0,-0.0007334484020818005,0.00028835400642867985,-0.1982115818440803,0.1961142559248237
Image,0,128,100,spearman,0.0,-0.0010286650330739969,-6.756876319070044e-05,-0.2010480542636582,0.19411241877016552
Image,1,8,100,pearson,0.8786478815565325,0.8785105895652962,0.8801970191845536,0.8232578802377979,0.9226080111467571
Image,1,8,100,spearman,0.8786478815565325,0.8698177658291201,0.87158261360883,0.8154009810492686,0.9127031191531815
Image,1,128,100,pearson,0.9914418526142748,0.991393122501413,0.9915829128060937,0.9871044727868643,0.9946642610812242
Image,1,128,100,spearman,0.9914418526142748,0.987991544715581,0.9882575737751327,0.9822924117232754,0.9921200270998562
Time,0,8,100,pearson,0.0,0.0005120812013206545,0.0004005020612176158,-0.1925446335210344,0.19667011948921606
Time,0,8,100,spearman,0.0,0.0005391710052853502,0.0010456348179768257,-0.19414827325112216,0.19628282172122521
Time,0,128,100,pearson,0.0,0.00049111637733387,-0.0009455327766904611,-0.19299438326669222,0.2016694792239803
Time,0,128,100,spearman,0.0,0.0008500643556283638,0.0003917418560656852,-0.19543227673684363,0.19940931273840867
Time,1,8,100,pearson,0.7439786962187359,0.7422055374339847,0.7454668029375104,0.6370332127631468,0.8261036744954782
Time,1,8,100,spearman,0.7439786962187359,0.7271806382564114,0.7307208021978956,0.6179715621586211,0.8147263961969379
Time,1,128,100,pearson,0.9789450631556086,0.9787278492057434,0.9791971935408673,0.9684976775845514,0.9864336065248709
Time,1,128,100,spearman,0.9789450631556086,0.974284005567434,0.9749275493797971,0.9610630045210186,0.9837970390829057
Protein,0,8,100,pearson,0.0,2.7060322663417403e-05,-0.000578507066768517,-0.19344279491048638,0.19697410598432744
Protein,0,8,100,spearman,0.0,0.00023434449741887922,0.0010921086369190343,-0.19830777829731802,0.1950522144539487
Protein,0,128,100,pearson,0.0,9.716408100188229e-05,-0.0016417667947351017,-0.19246853434028685,0.20131266106814774
Protein,0,128,100,spearman,0.0,0.00027893865376599415,-0.0004864777278818076,-0.19578511080805672,0.19679482537840734
Protein,1,8,100,pearson,0.78965871018753,0.7883064994167648,0.7922038524021968,0.6901300990126538,0.864382497613609
Protein,1,8,100,spearman,0.78965871018753,0.7596081377002857,0.7634645789286905,0.6521222850716428,0.8436193660155893
Protein,1,128,100,pearson,0.9836245041508886,0.9834155758467976,0.9838314841625584,0.97482177720984,0.9898396203643804
Protein,1,128,100,spearman,0.9836245041508886,0.9762003991209731,0.9768844143260048,0.9637327113751802,0.985000882016904
Pooled,0,8,100,pearson,0.0,-0.0005725028597547867,-0.0013292780042234408,-0.19594718987720286,0.19869992319912033
Pooled,0,8,100,spearman,0.0,-0.0005536255589183152,-0.0014073184710690734,-0.197357720773519,0.19865720846172732
Pooled,0,128,100,pearson,0.0,-0.00022659620725499723,-0.0007674989643235638,-0.19937971480991906,0.19987912825675133
Pooled,0,128,100,spearman,0.0,-0.0001068311183901013,-0.0008728028633375687,-0.19934909224900915,0.2003978183424956
Pooled,1,8,100,pearson,0.8492596389174861,0.8482738831555238,0.8507811191741482,0.779736642069442,0.9022767135937402
Pooled,1,8,100,spearman,0.8492596389174861,0.8334164621688338,0.8365957627550634,0.7590496896879846,0.8910670240395644
Pooled,1,128,100,pearson,0.9890282030942525,0.988942942262333,0.9891872667744156,0.9834055919505933,0.9931334098784933
Pooled,1,128,100,spearman,0.9890282030942525,0.9843878585438913,0.9847698561159235,0.9765231987312145,0.9900037631554455
