key,label,shot,clean_accuracy,clean_accuracy_stderr,deranged_accuracy,deranged_accuracy_stderr,accuracy_gap,clean_edit_distance,clean_edit_distance_stderr,deranged_edit_distance,deranged_edit_distance_stderr,edit_distance_gap,clean_file,deranged_file,clean_sha256,deranged_sha256
qwen3,Qwen3 14B,1,0.11625,0.019963271199122078,0.11625,0.019963271199122078,0.0,3.2675,0.11754297516270809,3.2675,0.11754297516270809,0.0,data/principal_results/qwen3/clean/Qwen3-14B-Base_ic1.json,data/principal_results/qwen3/deranged/Qwen3-14B-Base_deranged_ic1.json,9fea36bb42271e4b9bde87b7230a46f77fce26041099443f27b6939c378fa541,495c9b7a304c094e3096688367624c281ef415c46043b86db475837cde8ba442
qwen3,Qwen3 14B,2,0.16625,0.024299205519705554,0.16625,0.024876906556040683,0.0,2.8525,0.10375494390070472,2.99125,0.1087151633509523,0.13874999999999993,data/principal_results/qwen3/clean/Qwen3-14B-Base_ic2.json,data/principal_results/qwen3/deranged/Qwen3-14B-Base_deranged_ic2.json,105ea21a971f044102e6d550cc1fff2f4bb6f28b80f32506a11f58614badbeaf,a7f2cf8646a80dfae269dc279f597c1b908a850bfda3c84e64c41fb737167863
qwen3,Qwen3 14B,4,0.17125,0.02529216900804107,0.13125,0.02221728954092858,0.04000000000000001,2.6975,0.10874310613235734,3.0775,0.12266480359257108,0.38000000000000034,data/principal_results/qwen3/clean/Qwen3-14B-Base_ic4.json,data/principal_results/qwen3/deranged/Qwen3-14B-Base_deranged_ic4.json,0be0793fb8830a7ff6d399c65dd1aad1557a8bc30837e985c4faa3cd0e8d80de,2dfb985ac2c43defab4148884705bd748de3e4e2c371a7c9856bc1fba96e8f56
qwen3,Qwen3 14B,8,0.18875,0.026081106498030644,0.14625,0.022825576541337232,0.04250000000000001,2.4525,0.10973424048743188,3.01875,0.12516876233971702,0.5662499999999997,data/principal_results/qwen3/clean/Qwen3-14B-Base_ic8.json,data/principal_results/qwen3/deranged/Qwen3-14B-Base_deranged_ic8.json,f9862e74a704aee2cdaf8585985e0f222ae078d683e4d246a5127b71be5a022e,154b1c902221c07354a3fd5144afd145400ea295e11feb59d3f843b065b7fc01
qwen3,Qwen3 14B,16,0.22125,0.029347652754900554,0.1575,0.025289984842489198,0.06375,2.22625,0.11586160272000592,2.9425,0.12566012562351342,0.71625,data/principal_results/qwen3/clean/Qwen3-14B-Base_ic16.json,data/principal_results/qwen3/deranged/Qwen3-14B-Base_deranged_ic16.json,2be98719126b2dd505733f3f0bd949c3b7b064e6d2c51a37e946a258c4bff0f7,a7c7b4838e4073acd050478852c598717967b948b75f45ab273e7e9837b07818
qwen3,Qwen3 14B,32,0.26875,0.03204789463451617,0.15375,0.025304646337434282,0.11499999999999999,1.9775,0.11244218491960636,2.91625,0.1283768004899655,0.9387499999999998,data/principal_results/qwen3/clean/Qwen3-14B-Base_ic32.json,data/principal_results/qwen3/deranged/Qwen3-14B-Base_deranged_ic32.json,6df9974b3a9fabfb85e741085e51fb0cf18bfc3b0a9ab53c9978f4c53dabdc89,bcc344161d210cbfa0f6236620c42a7a28ac0465aa8b97a767f8c104f3dbe40e
qwen3,Qwen3 14B,64,0.28875,0.03331888891583659,0.15625,0.027315438987332918,0.1325,1.88,0.11334447360577267,2.96,0.1437116220179506,1.08,data/principal_results/qwen3/clean/Qwen3-14B-Base_ic64.json,data/principal_results/qwen3/deranged/Qwen3-14B-Base_deranged_ic64.json,568fe5f8ee656e66a9a1fdf5f84ea2bf1ec1b68ac433073a2acc5a61a109ef65,888211b0e1f002370c7db543866e58066ecb877c3bbc4a25f94373cf9bbc5a1b
evo2,Evo2 40B,1,0.13,0.022326774251665835,0.13,0.022326774251665835,0.0,3.135,0.09138524293485588,3.1375,0.09143393320542512,0.002500000000000391,data/principal_results/evo2/clean/evo2_40b_ic1.json,data/principal_results/evo2/deranged/evo2_40b_deranged_ic1.json,affd7e3c5dc0ebe251031967b83637379dddde152de6e94b9415b1eaac1bd025,345dfcb69ec5f74f626af1e64c3dedd22b0a99e6cd09934a03eab56b6b3f6d42
evo2,Evo2 40B,2,0.1525,0.021874007914011145,0.1375,0.02257842672852459,0.014999999999999986,3.03125,0.12157394505469343,3.03375,0.10442929015086784,0.0024999999999999467,data/principal_results/evo2/clean/evo2_40b_ic2.json,data/principal_results/evo2/deranged/evo2_40b_deranged_ic2.json,a6dc281eff8bd9612ec9223d7e7cebe44e1ecd0d5bb47a69f0024036bc0dad1d,367502ccf765b68ea6089b754968cc5fbded85eee11bebab2168ea0eea261153
evo2,Evo2 40B,4,0.17875,0.024698625386033044,0.175,0.026471826075236588,0.0037500000000000033,2.6825,0.1130865740586531,2.90375,0.12848494340512503,0.22124999999999995,data/principal_results/evo2/clean/evo2_40b_ic4.json,data/principal_results/evo2/deranged/evo2_40b_deranged_ic4.json,30c1661fbe32901c4f00a89eb94e87a3fe69ed759af29105e0644b2b2d6d7e22,25bd87539f5c3585c78672bf1d46065210f9921239dde05223c93955e318bf55
evo2,Evo2 40B,8,0.22625,0.026985253642339814,0.16,0.02475128810034465,0.06625,2.38,0.11922148558989956,2.88875,0.1262799994360776,0.50875,data/principal_results/evo2/clean/evo2_40b_ic8.json,data/principal_results/evo2/deranged/evo2_40b_deranged_ic8.json,ee4af5c57a8c0cb13c2af3e1658a6df551f85cb69baa3e050e9b32e1e88cbdac,d85b2e5b682b4b51d8ef3a04373c3dffa84167bec0f4ab0f1cd69feee405e185
evo2,Evo2 40B,16,0.2425,0.027050971341248554,0.175,0.025929683469886104,0.0675,2.195,0.12609770542373605,2.78,0.12328520764569617,0.585,data/principal_results/evo2/clean/evo2_40b_ic16.json,data/principal_results/evo2/deranged/evo2_40b_deranged_ic16.json,f4f9962f318f93020d1df01cbe02018869378500f8febbf76c548dd00f8dbb22,b57f0b39d70f59b7cf8aff82b3e908dcd6517ce29a590c196ddcf82f0df323b0
evo2,Evo2 40B,32,0.28,0.029522718524738013,0.15625,0.024578196689856082,0.12375000000000003,1.79875,0.1031678629930147,2.905,0.11891927063892097,1.1062499999999997,data/principal_results/evo2/clean/evo2_40b_ic32.json,data/principal_results/evo2/deranged/evo2_40b_deranged_ic32.json,d83362580412741e2a92f650ec281feb8ad8abe9512e6e137b99ae45f6e7d649,ad7c9067efe5014e6e568ec27a4fe28dfcd2136efb97c23e8a106109c8efc7e0
evo2,Evo2 40B,64,0.3225,0.03118958807102787,0.1425,0.024231886914442786,0.18000000000000002,1.545,0.10845738817851484,2.9475,0.13874186662848226,1.4024999999999999,data/principal_results/evo2/clean/evo2_40b_ic64.json,data/principal_results/evo2/deranged/evo2_40b_deranged_ic64.json,1e0cdd3e4d6578892262e44e943516ded5b54740ea0bd0ee68853fe8b53ed97c,79fe0621a9e4b9dc51dbca0af1e0f7f29403a6c4e9ce71ce6697da08651e4811
nextterm,NextTerm 440M,1,0.09625,0.014085664142788381,0.09625,0.014085664142788381,0.0,3.11375,0.08653134467411858,3.11375,0.08653134467411858,0.0,data/principal_results/nextterm/clean/NextTerm-440M_ic1.json,data/principal_results/nextterm/deranged/NextTerm-440M_ic1.json,05abc069fcb0543ef657e43739a21ccfd093649110ece156f55e4ba6b9728e9f,b6732a235dd4d6471a87f6f9d1da8ee2785bc70a4ff3ba79f3bcaf173223bb27
nextterm,NextTerm 440M,2,0.17125,0.02307315714868862,0.1125,0.016428218516819273,0.05875000000000001,2.88125,0.11578911026325212,3.13,0.10213812691496242,0.2487499999999998,data/principal_results/nextterm/clean/NextTerm-440M_ic2.json,data/principal_results/nextterm/deranged/NextTerm-440M_ic2.json,9a5cb6b565996b407ea88608241178e80aabe3f4e55c74d1f0d7b578183fa396,35095a5431cd3f1f474d96645750c461cb6ffe711aab50902137bb7f9fb67b06
nextterm,NextTerm 440M,4,0.1925,0.025649394030686456,0.1225,0.021758256298971136,0.07,2.62625,0.11169740361685887,3.08125,0.11192156287942792,0.4549999999999996,data/principal_results/nextterm/clean/NextTerm-440M_ic4.json,data/principal_results/nextterm/deranged/NextTerm-440M_ic4.json,7ff84b78e9a7e932b916cf67d3b2776e559f5890b4cbcfc5b5c9fd6045541475,9954cbcf98b263cfd6f1b0e4dc370518356616a683fbf1cbc881c58b1b72c603
nextterm,NextTerm 440M,8,0.23125,0.028280643967779857,0.14625,0.02474969390689203,0.08500000000000002,2.44125,0.12613693807313003,2.93125,0.11897572910540037,0.48999999999999977,data/principal_results/nextterm/clean/NextTerm-440M_ic8.json,data/principal_results/nextterm/deranged/NextTerm-440M_ic8.json,415596256e3ec0bfec48565465d415854e187055a2fdef44931f2bdbfd0806bf,0cd139ad86ff9fffa319eec87409aaac9afcb712bc4130bcffc1cc86d4b7b165
nextterm,NextTerm 440M,16,0.32,0.034419794046772305,0.15125,0.025703178968581087,0.16875,2.0825,0.13229019028047562,2.83875,0.12093510604343709,0.7562500000000001,data/principal_results/nextterm/clean/NextTerm-440M_ic16.json,data/principal_results/nextterm/deranged/NextTerm-440M_ic16.json,630b7914039b9006b883e7c77fac45527c9f4c7f0d087f3093b1de467772bb1d,788e6b5e03222bb8b10f4b4756ad5a34db2824530c980d1fe57c9dd96122635b
nextterm,NextTerm 440M,32,0.39875,0.03784333568219846,0.1575,0.026804803202923815,0.24125,1.82625,0.1448603363431638,2.885,0.1401622436516145,1.0587499999999999,data/principal_results/nextterm/clean/NextTerm-440M_ic32.json,data/principal_results/nextterm/deranged/NextTerm-440M_ic32.json,7590c10da69405d74a80aa5d479bfd457a644b960d2dcb46e7a7d1d3833253c2,bb35adf1ba7f9b230134e4653d56eb9cea1f1dee41e540184ce6a53c5a861d83
nextterm,NextTerm 440M,64,0.46625,0.03879721789202953,0.17125,0.0284076009710305,0.295,1.47375,0.1348200142314699,2.74375,0.12639842760097927,1.27,data/principal_results/nextterm/clean/NextTerm-440M_ic64.json,data/principal_results/nextterm/deranged/NextTerm-440M_ic64.json,2b7401ec3cdfd92bb70f2ac76602ceaf9be72a509c71006b2aeeb3492bd313a3,82e783094ae8ac2532173d3f715f3fd53fa2980aad1a43662f1f087eda120d15
imagegpt,ImageGPT large,1,0.19125,0.02333164225473703,0.19125,0.02333164225473703,0.0,2.79,0.08911532081544904,2.79,0.08911532081544904,0.0,data/principal_results/imagegpt/clean/imagegpt-large-bf16_1shot_leftpad_clean.json,data/principal_results/imagegpt/deranged/imagegpt-large-bf16_1shot_leftpad_deranged.json,0d7b9e6494ce24db6be806aa6b5dc6c59145208476ab37a0423e76679f3f3135,267e675cdce40cad54a019c3976947c1544188c2c0b45549dd2ba4e7ca6ed3cb
imagegpt,ImageGPT large,2,0.25,0.026650089544451305,0.16625,0.02474969390689203,0.08374999999999999,2.405,0.12290055107502755,2.9625,0.11008920854645037,0.5575000000000001,data/principal_results/imagegpt/clean/imagegpt-large-bf16_2shot_leftpad_clean.json,data/principal_results/imagegpt/deranged/imagegpt-large-bf16_2shot_leftpad_deranged.json,51cac50fa07fe0d3c263fe919009b030fb4df62a8e043b2bb7df3fed1f09544e,de536097deb698252d5c39fb8c469085b584b36c9a47376c7a041307b7f879f5
imagegpt,ImageGPT large,4,0.3325,0.031039442161497836,0.18125,0.02514948992393968,0.15125000000000002,2.1025,0.1462858779267776,2.93125,0.12115780624933548,0.8287499999999999,data/principal_results/imagegpt/clean/imagegpt-large-bf16_4shot_leftpad_clean.json,data/principal_results/imagegpt/deranged/imagegpt-large-bf16_4shot_leftpad_deranged.json,e0804618fc7704a4e51d9f9772ab0b99dcc80a0c0a6671a95e916e9d6fa73e67,c4048d8949187abf40b86e2a83feebbc6cc7616864bfb4a78dfc710daea6f93b
